Image ID,Deviation of Widths (DW),Deviation of Heights (DH),Deviation of Areas (DA),Density,Vertical Projection Variance,Pixels Distribution,Major Horizontal Projection Difference,Bottom Line,Black Pixels Each Line
2.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551581,0.0,0.0
2.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551612,0.0,0.0
2.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
2.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551611,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,5.787037037037037e-05,18446744073709551615,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.005813953488372,3.9375,0.0072478991596638,18446744073709551540,0.0,0.75
20.jpg,[0.0],[0.0],[0.0],0.0095238095238095,0.1224489795918367,0.0285714285714285,18446744073709551612,0.0,0.1428571428571428
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551508,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551601,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.0046082949308755,0.1224489795918367,0.0068027210884353,18446744073709551601,0.0,0.1428571428571428
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551608,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551604,0.0,0.0
20.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
21.jpg,[0.0],[0.0],[0.0],0.0001443939065771,0.4899969221298861,0.0001107920014628,18446744073709551614,0.0,0.0350877192982456
21.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
21.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551611,0.0,0.0
21.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551611,0.0,0.0
21.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551606,0.0,0.0
21.jpg,[0.0],[0.0],[0.0],4.723665564478035e-05,0.0068024019515856,5.073566717402334e-05,18446744073709551611,0.0,0.0068493150684931
21.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.000136475297971,18446744073709551615,0.0,0.0
21.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
22.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0001971879286694,18446744073709551615,0.0,0.0
