Image ID,Deviation of Widths (DW),Deviation of Heights (DH),Deviation of Areas (DA),Density,Vertical Projection Variance,Pixels Distribution,Major Horizontal Projection Difference,Bottom Line,Black Pixels Each Line
13.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551438,0.0,0.0
13.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
39.jpg,[0.0],[0.0],[0.0],0.0018197278911564626,9.426462932111619,3.518648838845878e-05,18446744073709551615,0.002551020408163265,0.5459183673469372
39.jpg,[0.0],[0.0],[0.0],0.025362318840579712,43.333333333333336,0.02681992337164751,18446744073709551581,0.0,4.666666666666665
39.jpg,[0.0],[0.0],[0.0],0.00010521885521885521,0.019793898581777367,0.000111000111000111,18446744073709551571,0.0,0.020202020202020204
39.jpg,[0.0],[0.0],[0.0],0.00038678734431809393,0.03467729413591429,0.0004333882291756956,18446744073709551613,0.0,0.03597122302158273
39.jpg,[0.0],[0.0],[0.0],0.0002707459049681874,0.021966923368261573,0.00030783438510081576,18446744073709551615,0.0,0.02247191011235955
39.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],0.0,0.0,2.0176137681963542e-05,18446744073709551615,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551606,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],1.9569471624266145e-05,0.0027322199286920613,2.107481559536354e-05,18446744073709551615,0.0,0.0027397260273972603
11.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551612,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551588,0.0,0.0
11.jpg,[0.0],[0.0],[0.0],0.01904761904761905,0.4897959183673471,0.014285714285714285,18446744073709551571,0.0,0.2857142857142857
10.jpg,[0.0],[0.0],[0.0],0.0,0.0,7.812377931594818e-06,18446744073709551615,0.0,0.0
10.jpg,[0.0],[0.0],[0.0],4.5093795093795094e-05,0.006451340866925283,4.845900368288428e-05,18446744073709551606,0.0,0.006493506493506494
10.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
10.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551600,0.0,0.0
10.jpg,[0.0],[0.0],[0.0],0.005555555555555556,0.07638888888888887,0.008333333333333333,18446744073709551602,0.0,0.08333333333333333
38.jpg,[0.0],[0.0],[0.0],0.0,0.0,1.9246067386897276e-05,18446744073709551615,0.0,0.0
38.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551586,0.0,0.0
38.jpg,[0.0],[0.0],[0.0],2.9761904761904762e-05,0.004975000000000003,3.1645569620253167e-05,18446744073709551610,0.0,0.005
38.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
38.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
38.jpg,[0.0],[0.0],[0.0],0.00012052064920456372,0.0252759266972095,0.00013082155939298797,18446744073709551612,0.0,0.015306122448979591
